iter	Passed	Remaining
411	3270	4668
412	3277	4657
413	3284	4648
414	3292	4641
415	3298	4630
416	3305	4620
417	3311	4610
418	3317	4599
419	3323	4590
420	3330	4579
421	3336	4570
422	3342	4559
423	3349	4550
424	3356	4540
425	3362	4530
426	3369	4521
427	3375	4511
428	3383	4503
429	3390	4494
430	3397	4485
431	3404	4475
432	3410	4466
433	3417	4456
434	3422	4445
435	3429	4436
436	3436	4427
437	3442	4417
438	3449	4408
439	3456	4398
440	3462	4389
441	3471	4382
442	3477	4372
443	3485	4364
444	3493	4357
445	3500	4348
446	3508	4340
447	3514	4330
448	3521	4321
449	3528	4312
450	3535	4304
451	3542	4295
452	3550	4287
453	3557	4278
454	3563	4268
455	3570	4259
456	3577	4250
457	3586	4244
458	3594	4236
459	3600	4226
460	3607	4217
461	3615	4209
462	3621	4200
463	3629	4192
464	3635	4183
465	3642	4174
466	3650	4166
467	3656	4156
468	3664	4148
469	3671	4139
470	3678	4131
471	3686	4123
472	3692	4114
473	3700	4106
474	3706	4096
475	3714	4088
476	3721	4079
477	3728	4071
478	3735	4063
479	3742	4054
480	3750	4046
481	3756	4037
482	3764	4029
483	3771	4020
484	3779	4013
485	3786	4004
486	3793	3996
487	3801	3988
488	3808	3979
489	3815	3971
490	3822	3962
491	3829	3954
492	3837	3946
493	3846	3940
494	3854	3932
495	3863	3926
496	3870	3916
497	3877	3908
498	3885	3900
499	3893	3893
500	3900	3885
501	3907	3876
502	3915	3868
503	3921	3859
504	3930	3852
505	3937	3843
506	3946	3837
507	3953	3828
508	3961	3821
509	3968	3812
510	3976	3805
511	3983	3796
512	3991	3789
513	3999	3781
514	4007	3774
515	4014	3765
516	4022	3757
517	4029	3749
518	4035	3740
519	4043	3732
520	4050	3723
521	4058	3716
522	4065	3707
523	4073	3700
524	4079	3691
525	4088	3683
526	4095	3675
527	4103	3667
528	4109	3659
529	4116	3650
530	4123	3641
531	4129	3632
532	4137	3624
533	4144	3616
534	4150	3607
535	4157	3598
536	4163	3590
537	4170	3581
538	4177	3572
539	4183	3564
540	4191	3555
541	4203	3552
542	4215	3547
543	4225	3541
544	4235	3535
545	4244	3529
546	4252	3521
547	4260	3514
548	4269	3507
549	4277	3499
550	4285	3491
551	4292	3484
552	4299	3475
553	4307	3467
554	4313	3458
555	4321	3450
556	4328	3442
557	4336	3435
